company name,contact number,area,product category 1,product category 2,product category 3,company description
Monarch International,tel:+91 11 43770000,New delhi - India,Coal,"Energy, fuel and water",Anthracite...,"Manfuacturer & Exporters of Refractory Materials ( Finished & Raw), Mineral & Metallic Ores, Steel, Ferrous & Non-Ferrous Metals and Ferro Alloys, Chemicals ( Industrial & Pharmaceuticals), Coal & Coke, Textile & Industrial Yarn for Tyre & Rubber Industry, Machineries..."
"KEI Industries Limited (Electrical Cables and Wires Manufacturing Company in New Delhi, Delhi)",tel:+91 11 26818840,New delhi - India,Basic metal products,"Iron and steel wire rod. Drawn steel wire, reinforcing steel","Wire rods, stainless steel...","KEI Industries Limited is an Indian wire and cable manufacturing company headquartered in Bhiwadi, Rajasthan. It was founded in 1968 and is one of the leading manufacturers of wire and cable products in India. KEI's primary product line-up includes power cables, control and instrumentation cables, h..."
"Danip Technologies (IT Services and IT Consulting Company in New Delhi, Delhi)",tel:+91 98107 09239,New delhi - India,Information technology (IT) and Internet,Information technology (IT) outsourcing services,Information technology (IT) security services...,"Established in 2016, We are an IT service company offering world-class software and application using modern and robust technologies including AI, AR/VR, Cloud, and Big Data. We build Mobile Application, Software, Websites, and Cloud Solutions that will help you in creating innovative Products, and..."
Steel Authority of India Limited,tel:+91 11 24367481,New delhi - India,Basic metal products,Raw pig-iron,"Pig-iron, basic...","Steel Authority of India (SAIL) is a Maharatna company, the highest category of public sector enterprise in India. It is the largest steel producer in India, with a production capacity of over 20 million tonnes per annum. SAIL's product line-up includes steel, steel products, and alloys. Its target..."
Switch Control India,tel:+91 92054 32152,Delhi - India,Detection systems and alarms NES,Security equipment,"Buzzers, signalling and alarm, piezoelectric...","Manufacturer of L.T. Electrical Switchgear & Control-gear, Push Button Switches, Backelite Fuse Holder, CAM Operated Rotary Switches, Pendent Push Button, Metal Clads Plugs & Sockets, Hooters & Buzzers."
"7  HILL  SALES  RECRUITMENT  HEADHUNTER, 7  HILL  SALES  RECRUITMENT  HEADHUNTER (Log  Official URL/Website as - http://7hilldelhi.tripod.com) (DR  ASHWANI KUMAR VIJ)",tel:+91 98104 67872,South delhi - India,Services to businesses,Human resources (HR) consultants,Human resources (HR) services,"We (5 Member Team) / I Provide/Offer Recruitment/Headhunt/Executive Search Services 4 Select: Top/Sr Mgmt/MD/CMO/Country Head/CHRO/Director/VP/GM/RSM/BDM/ASM Jobs. Our/My Official+Correct URL/Website is: http://7hilldelhi.tripod.com Email:7hilldirectorgmjobsvij@gmail.com From the year 2023-24,Onward..."
Paradise Speciality Cables Private Limited (Paradise Speciality Cables Private Limited),,Delhi - India,"Electric cables, insulated",Electrical equipment. Nuclear equipment,"Cables, miniature, electric...","Paradise Electrical Industries Is A Manufacturer, Supplier & Exporter Of Cables & Wires, Cable Management System, Lighting & Lighting Controls, Lamps & Lighting Components, Low Voltage Switch Gear Components, Wiring Accessories, Miscellaneous Products...."
"Jindal Saw Limited (Steel and Iron Manufacturing, Supply and Export Company in New Delhi, Delhi)",tel:+91 11 26188345,New delhi - India,"Pipes, tubes, ducts and pipelines, steel","Metal pipework, valves and containers","Tubing, steel...","Jindal Saw Limited is a leading steel and iron company based in Hisar, Haryana, India. The company was founded in 1984 by Shri O.P. Jindal, a renowned industrialist and philanthropist. Jindal Saw Limited has grown to become one of the largest producers of submerged arc welded (SAW) pipes and spiral..."
Sharman Mechanical Works,tel:+91 9811489912,New delhi - India,Textile finishing machinery and equipment,"Textile, clothing, leather and shoemaking machinery and equipment",Textile dyeing and boiling machinery and equipment...,"Manufacturer of HTHP horizontal tubular dyeing machine, HTHP vertical tubular dyeing machine, HTHP vertical dyeing machine, hot air drier, multi pot sample dyeing machine, heat exchanger for dyeing machine, sample dyeing machine and beaker dyeing (lab)...."
"MMTC Limited (Mineral and Metal Trading Company in New Delhi, Delhi)",tel:+91 11 24362200,New delhi - India,"Precious stoneworking, watchmaking and jewellery",Jewellery,Jewellery by material type...,"MMTC Limited, formerly known as Metals and Minerals Trading Corporation of India, was founded in 1963 and is headquartered in New Delhi, India. The company was established by the Government of India as a nodal agency for import and export of minerals and metals.The nature of MMTC's business is prima..."
Micro Devices Inc,tel:+91 11 26213855,New delhi - India,Electrical equipment. Nuclear equipment,Transformers and auto-transformers,"Accumulators, batteries and secondary cells...",Distributor & Importers of Electronic Components.
Spectec Techno Projects Private Limited,tel:+91 11 23712125,New delhi - India,Importers and exporters,"Importers-exporters, industrial machinery",Hygiene and cleaning...,"Spectec Techno Projects Private Limited is a leading Manufacturer, Supplier & Exporter of Turnkey Projects for Oil Milling, Solvent Extraction, Edible Oil Refining, Projects for Value Addition, Oleo chemical & Biodiesel Projects. Apart from the Turnkey projects, Spectec Techno Projects Priva..."
